"","x"
"1","Agkistrodon contortrix"
"2","Ambystoma barbouri"
"3","Ambystoma opacum"
"4","Ammodramus leconteii"
"5","Ammodramus maritimus"
"6","Amphispiza bilineata"
"7","Anas clypeata"
"8","Anas crecca"
"9","Anas cyanoptera"
"10","Anas discors"
"11","Anaxyrus woodhousii"
"12","Arborimus albipes"
"13","Arborimus longicaudus"
"14","Artemisiospiza nevadensis"
"15","Aspidoscelis sexlineatus"
"16","Batrachoseps wrighti"
"17","Cairina moschata"
"18","Callipepla squamata"
"19","Carphophis amoenus"
"20","Chaetodipus hispidus"
"21","Chamaea fasciata"
"22","Chelonia mydas"
"23","Coragyps atratus"
"24","Corvus ossifragus"
"25","Corynorhinus rafinesquii"
"26","Crotalus horridus"
"27","Cryptobranchus alleganiensis"
"28","Desmognathus monticola"
"29","Didelphis virginiana"
"30","Dryobates pubescens"
"31","Egretta tricolor"
"32","Elanus leucurus"
"33","Elgaria multicarinata"
"34","Euderma maculatum"
"35","Eurycea cirrigera"
"36","Eurycea longicauda"
"37","Eurycea lucifuga"
"38","Gallinula chloropus"
"39","Geothlypis formosa"
"40","Gymnorhinus cyanocephalus"
"41","Hypsiglena torquata"
"42","Lampropeltis calligaster"
"43","Lampropeltis gentilis"
"44","Lampropeltis nigra"
"45","Larus smithsonianus"
"46","Lasiurus seminolus"
"47","Lepus californicus"
"48","Lepus europaeus"
"49","Leuconotopicus albolarvatus"
"50","Leuconotopicus villosus"
"51","Leucophaeus pipixcan"
"52","Limnothlypis swainsonii"
"53","Lithobates areolatus"
"54","Lithobates blairi"
"55","Lithobates sphenocephalus"
"56","Malaclemys terrapin"
"57","Marmota olympus"
"58","Masticophis taeniatus"
"59","Melanerpes formicivorus"
"60","Mustela frenata"
"61","Myiarchus cinerascens"
"62","Myodes californicus"
"63","Myotis ciliolabrum"
"64","Nandayus nenday"
"65","Neotamias ruficaudus"
"66","Neotoma fuscipes"
"67","Nerodia erythrogaster"
"68","Nyctanassa violacea"
"69","Nycticeius humeralis"
"70","Ochrotomys nuttalli"
"71","Opheodrys aestivus"
"72","Ophisaurus attenuatus"
"73","Otospermophilus beecheyi"
"74","Pantherophis alleghaniensis"
"75","Pantherophis guttatus"
"76","Pantherophis ramspotti"
"77","Parastrellus hesperus"
"78","Passerella unalaschcensis"
"79","Passerina caerulea"
"80","Perognathus flavescens"
"81","Peromyscus boylii"
"82","Peromyscus truei"
"83","Phalacrocorax auritus"
"84","Phalaropus tricolor"
"85","Phrynosoma douglasii"
"86","Pipilo chlorurus"
"87","Piranga rubra"
"88","Pituophis catenifer"
"89","Plestiodon anthracinus"
"90","Plestiodon laticeps"
"91","Plethodon cylindraceus"
"92","Plethodon dorsalis"
"93","Plethodon dunni"
"94","Plethodon electromorphus"
"95","Plethodon glutinosus"
"96","Plethodon hoffmani"
"97","Plethodon kentucki"
"98","Plethodon richmondi"
"99","Plethodon wehrlei"
"100","Poecile carolinensis"
"101","Pseudacris brachyphona"
"102","Pseudacris feriarum"
"103","Pseudacris kalmi"
"104","Pseudotriton montanus"
"105","Pseudotriton ruber"
"106","Rallus crepitans"
"107","Rana boylii"
"108","Rana cascadae"
"109","Regina grahamii"
"110","Reithrodontomys humulis"
"111","Reithrodontomys montanus"
"112","Rynchops niger"
"113","Sayornis nigricans"
"114","Scaphiopus holbrookii"
"115","Sceloporus graciosus"
"116","Sceloporus occidentalis"
"117","Sceloporus undulatus"
"118","Scincella lateralis"
"119","Sciurus griseus"
"120","Selasphorus calliope"
"121","Setophaga auduboni"
"122","Setophaga dominica"
"123","Setophaga occidentalis"
"124","Siren intermedia"
"125","Sorex longirostris"
"126","Sorex merriami"
"127","Sorex nanus"
"128","Sorex rohweri"
"129","Sorex sonomae"
"130","Spinus psaltria"
"131","Sternula antillarum"
"132","Sylvilagus audubonii"
"133","Sylvilagus bachmani"
"134","Sylvilagus transitionalis"
"135","Tadarida brasiliensis"
"136","Thalasseus maximus"
"137","Thomomys idahoensis"
"138","Thomomys mazama"
"139","Tyrannus vociferans"
"140","Urocitellus elegans"
"141","Uta stansburiana"
"142","Vireo bellii"
"143","Virginia valeriae"
