species,class,order,family,genus
Arborimus albipes,Mammalia,Rodentia,Cricetidae,Arborimus
Arborimus longicaudus,Mammalia,Rodentia,Cricetidae,Arborimus
Artemisiospiza nevadensis,Aves,Passeriformes,Passerellidae,Artemisiospiza
Aspidoscelis sexlineata,NA,NA,NA,NA
Batrachoseps wrighti,Amphibia,Caudata,Plethodontidae,Batrachoseps
Carphophis amoenus,Reptilia,Squamata,Colubridae,Carphophis
Chaetodipus hispidus,Mammalia,Rodentia,Heteromyidae,Chaetodipus
Chamaea fasciata,Aves,Passeriformes,Sylviidae,Chamaea
Coragyps atratus,Aves,Accipitriformes,Cathartidae,Coragyps
Corvus ossifragus,Aves,Passeriformes,Corvidae,Corvus
Corynorhinus rafinesquii,Mammalia,Chiroptera,Vespertilionidae,Corynorhinus
Crotalus horridus,Reptilia,Squamata,Viperidae,Crotalus
Cryptobranchus alleganiensis,Amphibia,Caudata,Cryptobranchidae,Cryptobranchus
Desmognathus monticola,Amphibia,Caudata,Plethodontidae,Desmognathus
Elgaria multicarinata,Reptilia,Squamata,Anguidae,Elgaria
Eurycea cirrigera,Amphibia,Caudata,Plethodontidae,Eurycea
Eurycea longicauda,Amphibia,Caudata,Plethodontidae,Eurycea
Eurycea lucifuga,Amphibia,Caudata,Plethodontidae,Eurycea
Geothlypis formosa,Aves,Passeriformes,Parulidae,Geothlypis
Gymnorhinus cyanocephalus,Aves,Passeriformes,Corvidae,Gymnorhinus
Lampropeltis gentilis,Reptilia,Squamata,Colubridae,Lampropeltis
Lampropeltis calligaster,Reptilia,Squamata,Colubridae,Lampropeltis
Lampropeltis nigra,Reptilia,Squamata,Colubridae,Lampropeltis
Lepus californicus,Mammalia,Lagomorpha,Leporidae,Lepus
Limnothlypis swainsonii,Aves,Passeriformes,Parulidae,Limnothlypis
Lithobates areolatus,Amphibia,Anura,Ranidae,Lithobates
Lithobates blairi,Amphibia,Anura,Ranidae,Lithobates
Lithobates sphenocephalus,Amphibia,Anura,Ranidae,Lithobates
Malaclemys terrapin,Reptilia,Testudines,Emydidae,Malaclemys
Marmota olympus,Mammalia,Rodentia,Sciuridae,Marmota
Masticophis taeniatus,NA,NA,NA,NA
Melanerpes formicivorus,Aves,Piciformes,Picidae,Melanerpes
Myiarchus cinerascens,Aves,Passeriformes,Tyrannidae,Myiarchus
Myodes californicus,Mammalia,Rodentia,Cricetidae,Myodes
Neotoma fuscipes,Mammalia,Rodentia,Cricetidae,Neotoma
Nerodia erythrogaster,Reptilia,Squamata,Colubridae,Nerodia
Nyctanassa violacea,Aves,Pelecaniformes,Ardeidae,Nyctanassa
Nycticeius humeralis,Mammalia,Chiroptera,Vespertilionidae,Nycticeius
Ochrotomys nuttalli,Mammalia,Rodentia,Cricetidae,Ochrotomys
Opheodrys aestivus,Reptilia,Squamata,Colubridae,Opheodrys
Ophisaurus attenuatus,Reptilia,Squamata,Anguidae,Ophisaurus
Otospermophilus beecheyi,Mammalia,Rodentia,Sciuridae,Otospermophilus
Pantherophis guttatus,Reptilia,Squamata,Colubridae,Pantherophis
Pantherophis alleghaniensis,Reptilia,Squamata,Colubridae,Pantherophis
Pantherophis ramspotti,Reptilia,Squamata,Colubridae,Pantherophis
Parastrellus hesperus,Mammalia,Chiroptera,Vespertilionidae,Parastrellus
Passerina caerulea,Aves,Passeriformes,Cardinalidae,Passerina
Perognathus flavescens,Mammalia,Rodentia,Heteromyidae,Perognathus
Peromyscus boylii,Mammalia,Rodentia,Cricetidae,Peromyscus
Peromyscus truei,Mammalia,Rodentia,Cricetidae,Peromyscus
Phrynosoma douglasii,Reptilia,Squamata,Phrynosomatidae,Phrynosoma
Pipilo chlorurus,Aves,Passeriformes,Passerellidae,Pipilo
Piranga rubra,Aves,Passeriformes,Cardinalidae,Piranga
Plestiodon laticeps,Reptilia,Squamata,Scincidae,Plestiodon
Plestiodon anthracinus,Reptilia,Squamata,Scincidae,Plestiodon
Plethodon cylindraceus,Amphibia,Caudata,Plethodontidae,Plethodon
Plethodon dorsalis,Amphibia,Caudata,Plethodontidae,Plethodon
Plethodon dunni,Amphibia,Caudata,Plethodontidae,Plethodon
Plethodon electromorphus,Amphibia,Caudata,Plethodontidae,Plethodon
Plethodon glutinosus,Amphibia,Caudata,Plethodontidae,Plethodon
Plethodon kentucki,Amphibia,Caudata,Plethodontidae,Plethodon
Plethodon richmondi,Amphibia,Caudata,Plethodontidae,Plethodon
Poecile carolinensis,Aves,Passeriformes,Paridae,Poecile
Pseudacris brachyphona,Amphibia,Anura,Hylidae,Pseudacris
Pseudacris feriarum,Amphibia,Anura,Hylidae,Pseudacris
Pseudacris kalmi,Amphibia,Anura,Hylidae,Pseudacris
Pseudotriton montanus,Amphibia,Caudata,Plethodontidae,Pseudotriton
Rana boylii,Amphibia,Anura,Ranidae,Rana
Rana cascadae,Amphibia,Anura,Ranidae,Rana
Regina grahamii,Reptilia,Squamata,Colubridae,Regina
Reithrodontomys montanus,Mammalia,Rodentia,Cricetidae,Reithrodontomys
Reithrodontomys humulis,Mammalia,Rodentia,Cricetidae,Reithrodontomys
Sayornis nigricans,Aves,Passeriformes,Tyrannidae,Sayornis
Scaphiopus holbrookii,Amphibia,Anura,Scaphiopodidae,Scaphiopus
Sceloporus occidentalis,Reptilia,Squamata,Iguanidae,Sceloporus
Sceloporus undulatus,Reptilia,Squamata,Iguanidae,Sceloporus
Sceloporus graciosus,Reptilia,Squamata,Iguanidae,Sceloporus
Scincella lateralis,Reptilia,Squamata,Scincidae,Scincella
Sciurus griseus,Mammalia,Rodentia,Sciuridae,Sciurus
Setophaga dominica,Aves,Passeriformes,Parulidae,Setophaga
Setophaga occidentalis,Aves,Passeriformes,Parulidae,Setophaga
Siren intermedia,Amphibia,Caudata,Sirenidae,Siren
Sorex longirostris,Mammalia,Soricomorpha,Soricidae,Sorex
Sorex merriami,Mammalia,Soricomorpha,Soricidae,Sorex
Sorex nanus,Mammalia,Soricomorpha,Soricidae,Sorex
Sorex sonomae,Mammalia,Soricomorpha,Soricidae,Sorex
Spinus psaltria,Aves,Passeriformes,Fringillidae,Spinus
Sternula antillarum,Aves,Charadriiformes,Laridae,Sternula
Sylvilagus transitionalis,Mammalia,Lagomorpha,Leporidae,Sylvilagus
Sylvilagus audubonii,Mammalia,Lagomorpha,Leporidae,Sylvilagus
Sylvilagus bachmani,Mammalia,Lagomorpha,Leporidae,Sylvilagus
Tadarida brasiliensis,Mammalia,Chiroptera,Molossidae,Tadarida
Thalasseus maximus,Aves,Charadriiformes,Laridae,Thalasseus
Thomomys idahoensis,Mammalia,Rodentia,Geomyidae,Thomomys
Thomomys mazama,Mammalia,Rodentia,Geomyidae,Thomomys
Tyrannus vociferans,Aves,Passeriformes,Tyrannidae,Tyrannus
Urocitellus elegans,Mammalia,Rodentia,Sciuridae,Urocitellus
Uta stansburiana,Reptilia,Squamata,Iguanidae,Uta
Vireo bellii,Aves,Passeriformes,Vireonidae,Vireo
Virginia valeriae,NA,NA,NA,NA
